ID,Source_Referent_ID,Target_Referent_ID,Relation
1,102,123,>
2,104,105,>
3,104,108,<
4,104,113,<
5,105,104,M
6,107,108,<
7,107,113,<
8,107,120,<
9,108,104,>
10,108,107,>
11,112,113,<
12,112,120,<
13,113,104,>
14,113,107,>
15,113,112,>
16,120,107,>
17,120,112,>
18,123,102,M
19,131,107,M
20,203,234,<
21,221,234,<
22,227,234,<
23,234,203,>
24,234,221,>
25,234,227,>
26,302,305,<
27,303,305,<
28,305,302,>
29,305,303,>
30,306,313,>
31,307,309,>
32,307,311,>
33,307,313,>
34,307,314,>
35,307,315,>
36,309,311,>
37,309,313,>
38,309,314,>
39,309,315,>
40,309,307,<
41,311,317,>
42,311,307,<
43,311,309,<
44,313,306,<
45,313,307,<
46,313,309,<
47,314,307,<
48,314,309,<
49,315,307,<
50,315,309,<
51,317,311,M
52,321,311,>
53,321,315,>
54,321,316,>
55,501,502,>
56,502,501,<
57,502,506,<
58,502,511,<
59,502,512,<
60,505,506,<
61,505,512,<
62,506,502,>
63,506,505,>
64,506,512,>
65,509,512,<
66,511,512,<
67,512,502,>
68,512,505,>
69,512,506,>
70,512,509,>
71,512,511,>
72,602,603,<
73,602,607,<
74,602,620,<
75,603,602,>
76,603,609,>
77,606,607,<
78,607,602,>
79,607,606,>
80,610,620,<
81,620,602,>
82,620,610,>
83,701,703,<
84,701,731,<
85,702,703,<
86,703,701,>
87,703,702,>
88,706,707,>
89,706,708,>
90,706,709,>
91,707,706,<
92,708,706,<
93,709,706,<
94,711,712,>
95,711,713,>
96,711,714,>
97,712,711,<
98,713,711,<
99,714,711,<
100,726,731,<
101,731,701,>
102,731,726,>
103,736,737,M
104,737,736,>
105,737,738,>
106,738,737,M
107,744,745,M
108,745,744,>
109,745,746,>
110,745,750,>
111,746,745,M
112,750,745,M
113,801,808,>
114,801,803,<
115,802,803,<
116,803,801,>
117,803,802,>
118,808,801,M
119,901,932,>
120,901,940,>
121,904,932,>
122,907,909,<
123,908,909,<
124,909,907,>
125,909,908,>
126,918,919,<
127,919,918,>
128,919,932,>
129,932,901,<
130,932,903,<
131,932,919,<
132,934,938,>
133,936,937,>
134,937,936,M
135,938,934,M
136,939,942,>
137,940,901,<
138,942,939,M
